ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.BooleanUtils.and(boolean...);7;14;1;8;1;12;1;10;2;8;5;5;5;3;3;3;2;3;org.apache.commons.lang3.BooleanUtilsTest.testAnd_primitive_validInput_3items();2;46;4;38;6;4;0;18;4;14;4;4;4;4;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.testAnd_primitive_validInput_3items();27.416666666666664;1;2.5;13;1;6;0.8571428571428571;
org.apache.commons.lang3.BooleanUtils.compare(boolean,boolean);5;6;1;3;1;2;0;4;1;3;3;3;3;1;1;0;1;0;org.apache.commons.lang3.BooleanUtilsTest.testCompare();0;6;1;4;3;1;0;5;1;4;1;1;1;1;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.testCompare();4;0;0;5;1;2;1;
org.apache.commons.lang3.BooleanUtils.or(boolean...);7;14;1;8;1;12;1;10;2;8;5;5;5;3;3;3;2;3;org.apache.commons.lang3.BooleanUtilsTest.testOr_primitive_validInput_3items();2;46;4;38;6;4;0;18;4;14;4;4;4;4;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.testOr_primitive_validInput_3items();27.416666666666664;1;2.5;13;1;6;0.857142857142857;
org.apache.commons.lang3.BooleanUtils.toBooleanDefaultIfNull(Boolean,boolean);3;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.BooleanUtilsTest.test_toBooleanDefaultIfNull_Boolean_boolean();2;8;1;6;3;1;0;7;1;6;1;1;1;1;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.test_toBooleanDefaultIfNull_Boolean_boolean();4;0;0;5;1;2;1;
org.apache.commons.lang3.BooleanUtils.toBooleanObject(Integer);4;6;1;3;2;2;0;4;1;3;3;3;3;1;1;0;1;0;org.apache.commons.lang3.BooleanUtilsTest.test_toBooleanObject_Integer();2;6;1;4;5;1;0;5;1;4;1;1;1;1;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.test_toBooleanObject_Integer();4;0;0;5;1;2;1;
org.apache.commons.lang3.BooleanUtils.toIntegerObject(Boolean);4;6;1;3;2;2;0;4;1;3;3;3;3;1;1;0;1;0;org.apache.commons.lang3.BooleanUtilsTest.test_toIntegerObject_Boolean();2;5;1;3;5;1;0;4;1;3;1;1;1;1;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.test_toIntegerObject_Boolean();4;0;0;5;1;2;1;
org.apache.commons.lang3.BooleanUtils.toString(Boolean,String,String,String);8;6;1;3;2;2;0;4;1;3;3;3;3;1;1;0;1;0;org.apache.commons.lang3.BooleanUtilsTest.test_toString_Boolean_String_String_String();2;5;1;3;2;1;0;4;1;3;1;1;1;1;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.test_toString_Boolean_String_String_String();4;0;0;5;1;2;1;
org.apache.commons.lang3.BooleanUtils.xor(boolean...);7;13;2;8;1;8;1;10;3;7;4;4;4;1;0;0;1;0;org.apache.commons.lang3.BooleanUtilsTest.testXor_primitive_validInput_3items();2;58;4;50;6;4;0;18;4;14;4;4;4;4;0;0;0;0;org.apache.commons.lang3.BooleanUtilsTest.testXor_primitive_validInput_3items();33;1;5;12;1;6;0.8571428571428571;
org.apache.commons.lang3.CharEncoding.isSupported(String);4;10;1;6;2;3;0;6;1;5;3;3;3;3;2;2;1;2;org.apache.commons.lang3.CharEncodingTest.testNotSupported();0;13;2;9;4;2;0;11;2;9;2;2;2;2;0;0;0;0;org.apache.commons.lang3.CharEncodingTest.testNotSupported();8;0;0;3;0.375;1;0.3333333333333333;
org.apache.commons.lang3.CharRange.contains(CharRange);7;13;1;8;2;4;1;9;1;8;4;4;8;4;4;4;2;4;org.apache.commons.lang3.CharRangeTest.testContains_Charrange();1;95;25;93;7;1;0;94;25;69;1;1;1;1;0;0;0;0;org.apache.commons.lang3.CharRangeTest.testContains_Charrange();6;0;0;12;1;4;1;
