ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testFunction7();0;14;5;10;7;1;0;6;4;2;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testFunction7();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression10();0;9;5;5;4;1;0;7;4;3;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression10();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder18();0;9;4;7;10;1;0;6;3;3;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder18();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder19();0;9;4;7;10;1;0;6;3;3;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder19();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testUnaryMinus();0;5;3;3;4;1;0;3;2;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testUnaryMinus();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testUnaryMinusPowerPrecedence();0;5;3;3;4;1;0;3;2;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testUnaryMinusPowerPrecedence();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression15();0;7;5;5;6;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression15();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression14();0;7;5;5;5;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpression14();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.function.Function.Function(String,int);3;11;1;7;4;4;1;7;1;6;3;3;3;1;0;0;1;0;net.objecthunter.exp4j.ExpressionBuilderTest.testFunction10();0;16;5;11;7;1;0;6;4;2;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testFunction10();11,3,6,8,9,12;6;0;0;4;5;0.5555555555555556;1;1;0.3333333333333333;
net.objecthunter.exp4j.function.Function.Function(String,int);3;11;1;7;4;4;1;7;1;6;3;3;3;1;0;0;1;0;net.objecthunter.exp4j.ExpressionBuilderTest.testFunction11();0;17;5;12;8;1;0;6;4;2;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testFunction11();11,3,6,8,9,12;6;0;0;0;5;0.5555555555555556;0;1;0.3333333333333333;
