ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.util.MathUtils.checkFinite(double[]);4;9;3;4;2;3;0;7;3;4;3;3;4;1;0;0;2;0;org.apache.commons.math4.util.MathUtilsTest.testCheckFinite();0;32;1;24;3;64;2;19;1;18;7;7;7;1;6;0;0;0;org.apache.commons.math4.util.MathUtilsTest.testCheckFinite();10;1;3;7;1;1;0.5;
org.apache.commons.math4.util.MathUtils.copySign(int,int);5;12;2;8;2;3;0;6;1;5;3;3;7;3;3;2;1;2;org.apache.commons.math4.util.MathUtilsTest.testSignInt();0;10;3;6;4;2;0;8;3;5;2;2;2;2;0;0;0;0;org.apache.commons.math4.util.MathUtilsTest.testSignInt();9;0;0;6;0.75;2;0.6666666666666666;
org.apache.commons.math4.geometry.euclidean.twod.NestedLoops.correctOrientation();2;5;1;2;1;2;0;4;2;2;2;2;2;1;0;0;1;0;org.apache.commons.math4.geometry.euclidean.twod.NestedLoopsTest.testNestedLoops();0;29;14;26;11;1;0;22;13;9;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.twod.NestedLoopsTest.testNestedLoops();6;1;1;5;1;3;0.6;
org.apache.commons.math4.geometry.euclidean.threed.Plane.intersection(Plane);5;8;3;5;7;2;0;6;3;3;2;2;2;1;1;0;1;0;org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testIntersection2();0;10;6;8;6;1;0;9;6;3;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testIntersection2();5.5;0;0;7;1;2;1;
org.apache.commons.math4.geometry.euclidean.threed.Plane.isSimilarTo(Plane);6;5;2;3;3;1;0;3;2;1;1;1;4;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testSimilar();0;15;7;13;7;1;0;11;7;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testSimilar();4;0;0;3;1;1;1;
org.apache.commons.math4.geometry.euclidean.threed.Plane.rotate(Cartesian3D,Rotation);9;8;4;6;7;1;0;6;3;3;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testRotate();1;19;6;17;8;1;0;18;6;12;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testRotate();7;0;0;6;1;1;1;
org.apache.commons.math4.stat.regression.RegressionResults.getCovarianceOfParameters(int,int);6;12;1;7;3;5;1;8;1;7;4;4;6;1;1;0;1;0;org.apache.commons.math4.stat.regression.MillerUpdatingRegressionTest.testThreeRedundantColumn();4;152;24;123;30;524314;7;122;28;94;27;27;27;2;0;0;0;0;org.apache.commons.math4.stat.regression.MillerUpdatingRegressionTest.testThreeRedundantColumn();12;0;0;5;0.45454545454545453;1;0.25;
org.apache.commons.math4.stat.regression.RegressionResults.getParameterEstimate(int);4;9;1;5;2;3;0;6;1;5;3;3;4;1;1;0;1;0;org.apache.commons.math4.stat.regression.SimpleRegressionTest.testRegressIfaceMethod();2;40;8;37;23;2;0;40;9;31;2;2;2;1;0;0;0;0;org.apache.commons.math4.stat.regression.SimpleRegressionTest.testRegressIfaceMethod();5;0;0;4;0.5;1;0.3333333333333333;
org.apache.commons.math4.geometry.euclidean.twod.Segment.distance(Cartesian2D);4;17;10;13;8;2;0;12;9;3;2;2;3;1;1;0;1;0;org.apache.commons.math4.geometry.euclidean.twod.SegmentTest.testDistance();0;9;4;7;7;1;0;8;4;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.twod.SegmentTest.testDistance();10;0;0;9;0.6923076923076923;1;0.5;
org.apache.commons.math4.random.SobolSequenceGenerator.SobolSequenceGenerator(int,InputStream);4;13;3;8;7;4;1;9;2;7;3;3;3;1;0;0;1;0;org.apache.commons.math4.random.SobolSequenceGeneratorTest.testConstructor2();0;14;3;10;5;4;1;9;3;6;3;3;3;1;2;0;0;0;org.apache.commons.math4.random.SobolSequenceGeneratorTest.testConstructor2();9;0;0;8;0.6666666666666666;1;0.3333333333333333;
org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinates.SphericalCoordinates(double,double,double);7;12;5;10;8;1;0;9;5;4;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinatesTest.testCoordinatesStoC();1;15;8;13;5;1;0;14;8;6;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinatesTest.testCoordinatesStoC();11;0;0;10;1;1;1;
org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinates.toCartesianHessian(double[][],double[]);7;30;3;28;3;1;0;29;3;26;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinatesTest.testHessian();1;53;12;43;13;12;1;50;16;34;8;8;8;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinatesTest.testHessian();30;0;0;29;1;1;1;
org.apache.commons.math4.geometry.euclidean.threed.SubLine.getSegments();8;10;5;7;9;2;0;9;6;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testHalfInfinitePos();0;66;25;54;75;6;0;43;21;22;6;6;18;6;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testHalfInfinitePos();60;1;6;9;1;7;1;
org.apache.commons.math4.geometry.euclidean.threed.SubLine.intersection(SubLine,boolean);13;13;4;9;4;3;0;9;4;5;5;5;7;3;2;2;1;2;org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionNotIntersecting();0;30;15;20;25;5;0;25;15;10;5;5;5;5;0;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionNotIntersecting();37;0;0;11;1;3;1;
org.apache.commons.math4.geometry.euclidean.oned.Vector1DFormat.parse(String);14;10;3;7;5;2;0;6;3;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseSimpleWithDecimals();2;14;9;9;7;2;0;10;8;2;2;2;2;2;0;0;0;0;org.apache.commons.math4.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseSimpleWithDecimals();12;0;0;5;0.7142857142857143;1;0.5;
org.apache.commons.math4.stat.descriptive.moment.VectorialMean.VectorialMean(int);7;6;1;3;3;2;0;6;2;4;2;2;2;1;0;0;1;0;org.apache.commons.math4.random.UncorrelatedRandomVectorGeneratorTest.testMeanAndCorrelation();8;40;13;29;19;12;2;42;19;23;8;8;8;2;0;0;0;0;org.apache.commons.math4.random.UncorrelatedRandomVectorGeneratorTest.testMeanAndCorrelation();26;1;8;6;1;4;0.8;
