ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
com.mpatric.mp3agic.BufferTools.synchroniseBuffer(byte[]);8;15;4;11;2;4;1;15;5;10;4;4;7;1;1;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferMinimalBufferCorrectly();1;8;5;6;3;1;0;7;5;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferMinimalBufferCorrectly();13,2,3,4,5,6,11,12,14;9;0;0;0;8;0.5333333333333333;1;1;0.06666666666666667;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();0;10;1;8;3;1;0;9;1;8;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();11,2,3,4,5,7,3,4,5,7,3,4,5,7,3,4,5,6,8,9,10,12;22;1;3;11;11;0.6875;6;6;0.35294117647058826;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();0;10;1;8;3;1;0;9;1;8;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();11,2,3,4,5,7,3,4,5,7,3,4,5,6,8,9,10,12;18;1;2;0;11;0.6875;0;6;0.35294117647058826;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();0;10;1;8;3;1;0;9;1;8;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();11,2,3,4,5,7,3,8,9,14,12;11;1;1;3;10;0.625;1;3;0.17647058823529413;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();0;10;1;8;3;1;0;9;1;8;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();11,2,3,4,5,6,8,13,12;9;0;0;2;8;0.5;1;1;0.058823529411764705;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();0;10;1;8;3;1;0;9;1;8;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimStringsCorrectly();11,2,3,8,13,12;6;0;0;0;5;0.3125;1;1;0.058823529411764705;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();0;8;1;6;3;1;0;7;1;6;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();11,2,3,4,5,7,3,4,5,7,3,4,5,7,3,4,5,6,8,9,10,12;22;1;3;0;11;0.6875;0;6;0.35294117647058826;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();0;8;1;6;3;1;0;7;1;6;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();11,2,3,4,5,7,3,4,5,7,3,4,5,6,8,9,10,12;18;1;2;0;11;0.6875;0;6;0.35294117647058826;
com.mpatric.mp3agic.BufferTools.trimStringRight(String);4;14;3;9;4;9;1;13;3;10;5;5;5;5;4;4;2;4;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();0;8;1;6;3;1;0;7;1;6;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightTrimUnicodeStringsCorrectly();11,2,3,4,5,6,8,13,12;9;0;0;0;8;0.5;0;1;0.058823529411764705;
com.mpatric.mp3agic.BufferTools.unsynchroniseBuffer(byte[]);8;17;4;12;2;7;1;16;5;11;5;5;7;1;1;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferFullOfFFsCorrectly();1;8;5;6;3;1;0;7;5;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferFullOfFFsCorrectly();13,2,3,4,5,6,7,8,9,10,6,7,8,9,10,6,7,8,9,10,6,11,12,14;24;1;3;0;13;0.8666666666666667;1;7;0.4666666666666667;
com.mpatric.mp3agic.BufferTools.unsynchroniseBuffer(byte[]);8;17;4;12;2;7;1;16;5;11;5;5;7;1;1;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferFullOfFFsCorrectly();1;8;5;6;3;1;0;7;5;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseBufferFullOfFFsCorrectly();14,2,3,4,5,6,7,8,9,6,7,8,9,6,7,8,9,6,10,11,12,13,15;23;1;3;2;14;0.7777777777777778;2;6;0.4;
com.mpatric.mp3agic.BufferTools.unsynchroniseBuffer(byte[]);8;17;4;12;2;7;1;16;5;11;5;5;7;1;1;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldReturnOriginalBufferIfNoUnynchronisationOrSynchronisationIsRequired();0;7;4;5;3;1;0;6;4;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldReturnOriginalBufferIfNoUnynchronisationOrSynchronisationIsRequired();14,2,3,16,15;5;0;0;2;4;0.2222222222222222;1;1;0.06666666666666667;
com.mpatric.mp3agic.EncodedText.EncodedText(byte,byte[]);22;10;1;7;5;2;0;6;1;5;2;2;3;1;1;0;1;0;com.mpatric.mp3agic.EncodedTextTest.shouldConstructFromStringOrBytes();10;15;2;12;4;1;0;14;2;12;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.EncodedTextTest.shouldConstructFromStringOrBytes();11,3,7,8,9,12;6;0;0;5;5;0.8333333333333334;1;1;0.5;
com.mpatric.mp3agic.EncodedText.EncodedText(byte,byte[]);22;10;1;7;5;2;0;6;1;5;2;2;3;1;1;0;1;0;com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeISO8859_1Text();4;23;4;19;9;1;0;22;4;18;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeISO8859_1Text();11,3,7,8,9,12;6;0;0;0;5;0.8333333333333334;0;1;0.5;
com.mpatric.mp3agic.EncodedText.EncodedText(byte,byte[]);22;10;1;7;5;2;0;6;1;5;2;2;3;1;1;0;1;0;com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeUTF8Text();4;24;5;20;9;1;0;23;5;18;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.EncodedTextTest.shouldEncodeAndDecodeUTF8Text();11,3,7,8,9,12;6;0;0;0;5;0.8333333333333334;0;1;0.5;
